Номер операции,Время(нс),Количество операций
1 , 26300 , 9
2 , 6200 , 13
3 , 25400 , 14
4 , 10600 , 14
5 , 13300 , 12
6 , 15700 , 15
7 , 4100 , 8
8 , 8400 , 8
9 , 7100 , 16
10 , 9600 , 18
11 , 8900 , 16
12 , 4400 , 7
13 , 6600 , 8
14 , 7300 , 16
15 , 6900 , 6
16 , 7000 , 13
17 , 7500 , 9
18 , 10900 , 21
19 , 10800 , 11
20 , 4700 , 10
21 , 7700 , 16
22 , 6300 , 8
23 , 8900 , 19
24 , 9800 , 16
25 , 9200 , 16
26 , 6400 , 11
27 , 3900 , 9
28 , 4500 , 10
29 , 7000 , 10
30 , 7000 , 14
31 , 4700 , 11
32 , 8600 , 12
33 , 8500 , 11
34 , 9100 , 13
35 , 8900 , 12
36 , 8500 , 9
37 , 8500 , 15
38 , 7200 , 16
39 , 4100 , 10
40 , 4000 , 7
41 , 5700 , 13
42 , 4300 , 17
43 , 6600 , 10
44 , 610800 , 10
45 , 7500 , 13
46 , 6800 , 13
47 , 4300 , 10
48 , 6200 , 8
49 , 8600 , 15
50 , 5200 , 10
51 , 9200 , 13
52 , 4900 , 13
53 , 12200 , 21
54 , 7200 , 9
55 , 8600 , 11
56 , 5500 , 10
57 , 4700 , 8
58 , 5000 , 10
59 , 10700 , 15
60 , 8200 , 16
61 , 4800 , 6
62 , 6500 , 10
63 , 5500 , 12
64 , 5700 , 9
65 , 8200 , 8
66 , 5000 , 16
67 , 5000 , 14
68 , 4500 , 9
69 , 9300 , 15
70 , 9300 , 18
71 , 4800 , 13
72 , 9200 , 16
73 , 4800 , 12
74 , 74700 , 9
75 , 12600 , 17
76 , 10800 , 10
77 , 4800 , 12
78 , 6300 , 15
79 , 4100 , 10
80 , 5500 , 22
81 , 7700 , 16
82 , 6700 , 10
83 , 38100 , 14
84 , 8600 , 12
85 , 3900 , 12
86 , 7900 , 8
87 , 8300 , 13
88 , 6000 , 11
89 , 8300 , 12
90 , 3200 , 7
91 , 4300 , 17
92 , 11700 , 16
93 , 4200 , 11
94 , 6800 , 16
95 , 8300 , 13
96 , 7400 , 10
97 , 6200 , 10
98 , 6000 , 10
99 , 3800 , 6
100 , 7200 , 13
101 , 6100 , 15
102 , 4900 , 13
103 , 5500 , 8
104 , 6900 , 15
105 , 4500 , 15
106 , 9800 , 13
107 , 6400 , 14
108 , 6600 , 5
109 , 8500 , 11
110 , 8700 , 14
111 , 7100 , 12
112 , 3400 , 11
113 , 7800 , 16
114 , 4500 , 16
115 , 6300 , 10
116 , 5800 , 8
117 , 3200 , 9
118 , 3600 , 7
119 , 7700 , 16
120 , 4300 , 10
121 , 4300 , 12
122 , 6500 , 14
123 , 4100 , 10
124 , 7300 , 11
125 , 7200 , 19
126 , 8200 , 11
127 , 10600 , 12
128 , 128300 , 8
129 , 5800 , 17
130 , 5500 , 16
131 , 6300 , 13
132 , 7500 , 11
133 , 5300 , 9
134 , 4900 , 14
135 , 8700 , 15
136 , 4600 , 12
137 , 6500 , 14
138 , 8600 , 11
139 , 5000 , 11
140 , 7300 , 11
141 , 6000 , 11
142 , 4400 , 14
143 , 5200 , 9
144 , 6600 , 5
145 , 8900 , 18
146 , 5400 , 11
147 , 14400 , 24
148 , 6600 , 11
149 , 5100 , 14
150 , 7000 , 10
151 , 7400 , 17
152 , 8200 , 9
153 , 6500 , 8
154 , 6900 , 12
155 , 4500 , 12
156 , 8300 , 10
157 , 4600 , 11
158 , 4300 , 7
159 , 4000 , 8
160 , 6800 , 11
161 , 8800 , 16
162 , 6900 , 7
163 , 11200 , 11
164 , 4600 , 15
165 , 13500 , 15
166 , 7000 , 14
167 , 6700 , 15
168 , 6800 , 11
169 , 9800 , 15
170 , 5800 , 12
171 , 8000 , 8
172 , 8400 , 15
173 , 6000 , 10
174 , 10100 , 11
175 , 5200 , 13
176 , 9400 , 9
177 , 4600 , 13
178 , 9000 , 15
179 , 6300 , 10
180 , 6900 , 12
181 , 7900 , 18
182 , 4100 , 10
183 , 9600 , 11
184 , 5900 , 9
185 , 8100 , 13
186 , 4500 , 10
187 , 4500 , 8
188 , 4100 , 11
189 , 6300 , 7
190 , 46200 , 17
191 , 3700 , 8
192 , 7800 , 15
193 , 6200 , 17
194 , 4400 , 11
195 , 3200 , 7
196 , 2900 , 12
197 , 5000 , 11
198 , 7600 , 12
199 , 7100 , 14
200 , 7700 , 18
201 , 7100 , 15
202 , 12300 , 14
203 , 3800 , 15
204 , 5500 , 12
205 , 5200 , 11
206 , 3900 , 14
207 , 3700 , 11
208 , 5600 , 14
209 , 7200 , 16
210 , 5000 , 12
211 , 3900 , 8
212 , 3600 , 16
213 , 3600 , 11
214 , 6300 , 11
215 , 3800 , 7
216 , 3700 , 12
217 , 3300 , 12
218 , 7200 , 10
219 , 4900 , 8
220 , 9300 , 8
221 , 3800 , 8
222 , 4100 , 18
223 , 5100 , 8
224 , 4700 , 12
225 , 6100 , 13
226 , 3700 , 17
227 , 4000 , 11
228 , 6300 , 16
229 , 3400 , 10
230 , 5500 , 9
231 , 7100 , 13
232 , 6400 , 17
233 , 3900 , 11
234 , 8500 , 14
235 , 3700 , 7
236 , 9400 , 10
237 , 7100 , 13
238 , 11200 , 5
239 , 7100 , 17
240 , 8700 , 16
241 , 6000 , 13
242 , 5400 , 15
243 , 5900 , 16
244 , 3900 , 12
245 , 3800 , 11
246 , 4400 , 8
247 , 5800 , 10
248 , 3800 , 11
249 , 4600 , 9
250 , 4100 , 11
251 , 3500 , 7
252 , 6500 , 21
253 , 7100 , 16
254 , 4100 , 12
255 , 9300 , 18
256 , 14800 , 15
257 , 5400 , 17
258 , 4200 , 17
259 , 3900 , 15
260 , 3600 , 8
261 , 4800 , 13
262 , 4400 , 17
263 , 3800 , 11
264 , 6100 , 16
265 , 4800 , 12
266 , 8800 , 16
267 , 6400 , 9
268 , 3800 , 7
269 , 3900 , 15
270 , 11200 , 8
271 , 4000 , 11
272 , 3600 , 11
273 , 3900 , 15
274 , 4100 , 9
275 , 10800 , 15
276 , 6600 , 13
277 , 6800 , 10
278 , 3300 , 11
279 , 5500 , 15
280 , 6700 , 8
281 , 4600 , 13
282 , 8200 , 13
283 , 7600 , 10
284 , 8300 , 16
285 , 6200 , 11
286 , 7100 , 18
287 , 7900 , 10
288 , 4800 , 13
289 , 5900 , 13
290 , 6700 , 16
291 , 3400 , 8
292 , 5900 , 14
293 , 10400 , 6
294 , 4200 , 12
295 , 6200 , 7
296 , 4600 , 10
297 , 7100 , 16
298 , 8800 , 11
299 , 4600 , 13
300 , 6900 , 15
301 , 9100 , 15
302 , 6100 , 9
303 , 6300 , 13
304 , 5800 , 13
305 , 5300 , 10
306 , 7600 , 11
307 , 3700 , 15
308 , 8500 , 10
309 , 6500 , 9
310 , 5300 , 15
311 , 7400 , 12
312 , 4100 , 8
313 , 3800 , 14
314 , 3800 , 12
315 , 4600 , 11
316 , 6300 , 14
317 , 8100 , 14
318 , 5100 , 9
319 , 6400 , 9
320 , 3700 , 7
321 , 5200 , 13
322 , 7300 , 12
323 , 3700 , 7
324 , 4200 , 8
325 , 6600 , 7
326 , 6600 , 15
327 , 7800 , 12
328 , 4700 , 14
329 , 8000 , 12
330 , 8200 , 7
331 , 5700 , 12
332 , 4200 , 17
333 , 7400 , 14
334 , 6700 , 16
335 , 5500 , 10
336 , 7200 , 15
337 , 3800 , 8
338 , 5800 , 17
339 , 3700 , 8
340 , 5600 , 9
341 , 5700 , 15
342 , 4400 , 12
343 , 111600 , 16
344 , 4300 , 18
345 , 4300 , 10
346 , 4100 , 10
347 , 5900 , 14
348 , 13300 , 17
349 , 67600 , 5
350 , 4300 , 16
351 , 6100 , 13
352 , 5000 , 12
353 , 4800 , 12
