Номер операции,Время(нс),Количество операций
1 , 2057900 , 1
2 , 10800 , 2
3 , 1800 , 3
4 , 1300 , 4
5 , 1000 , 4
6 , 15100 , 4
7 , 1800 , 2
8 , 1500 , 3
9 , 1600 , 4
10 , 4800 , 6
11 , 1500 , 4
12 , 1600 , 1
13 , 1300 , 3
14 , 5200 , 6
15 , 1400 , 3
16 , 1200 , 4
17 , 1900 , 6
18 , 1500 , 7
19 , 4800 , 6
20 , 1300 , 4
21 , 1300 , 5
22 , 1000 , 2
23 , 1200 , 4
24 , 1900 , 5
25 , 4500 , 8
26 , 5800 , 8
27 , 1700 , 5
28 , 1900 , 4
29 , 4500 , 5
30 , 1600 , 3
31 , 3300 , 5
32 , 1400 , 2
33 , 1200 , 4
34 , 1200 , 5
35 , 2000 , 4
36 , 3900 , 5
37 , 1400 , 4
38 , 1200 , 3
39 , 1400 , 6
40 , 1500 , 8
41 , 1200 , 3
42 , 1400 , 4
43 , 4300 , 7
44 , 3900 , 8
45 , 4800 , 9
46 , 1300 , 1
47 , 1800 , 9
48 , 1600 , 7
49 , 4100 , 9
50 , 4000 , 7
51 , 2000 , 3
52 , 4700 , 11
53 , 1500 , 2
54 , 4800 , 7
55 , 1500 , 6
56 , 4300 , 3
57 , 1800 , 6
58 , 2000 , 7
59 , 1500 , 6
60 , 1300 , 5
61 , 101800 , 7
62 , 3300 , 2
63 , 6300 , 5
64 , 4900 , 9
65 , 6800 , 3
66 , 1900 , 6
67 , 5800 , 7
68 , 1300 , 4
69 , 1700 , 10
70 , 10200 , 6
71 , 1600 , 4
72 , 1700 , 8
73 , 1400 , 6
74 , 1600 , 3
75 , 2000 , 7
76 , 1200 , 3
77 , 1500 , 7
78 , 1300 , 5
79 , 1700 , 7
80 , 4700 , 7
81 , 1900 , 7
82 , 1600 , 7
83 , 1700 , 8
84 , 1200 , 3
85 , 4300 , 6
86 , 4900 , 7
87 , 1700 , 6
88 , 1500 , 6
89 , 1400 , 6
90 , 2600 , 4
91 , 8300 , 10
92 , 3300 , 11
93 , 3600 , 10
94 , 7300 , 9
95 , 5200 , 10
96 , 1800 , 5
97 , 4800 , 6
98 , 4600 , 13
