step,key,operations,nanos
1,892393,13,39600
2,173970,14,29800
3,31518,11,32800
4,494262,17,14000
5,910455,20,13800
6,808762,21,15100
7,298101,17,12300
8,659070,16,17200
9,346795,16,11600
10,207691,18,10500
11,302045,10,6300
12,950669,19,15100
13,744794,21,14500
14,124239,11,11400
15,576299,13,16100
16,586126,13,6300
17,827884,20,13000
18,611079,16,12000
19,553103,9,16400
20,360690,15,13300
21,625786,18,10500
22,477875,7,8700
23,648589,14,10700
24,945938,22,12700
25,853592,16,9100
26,194069,17,12600
27,778663,14,24800
28,714399,16,15200
29,347167,17,13000
30,672501,12,11200
31,990960,21,11300
32,836280,19,11900
33,18295,7,15400
34,426477,12,16200
35,802371,22,14000
36,197184,12,9300
37,576600,12,6243500
38,880593,13,30200
39,932036,17,4600
40,442221,13,15800
41,133795,10,3300
42,902261,14,9300
43,306184,17,29100
44,89669,10,6500
45,534558,13,12100
46,55817,16,7000
47,244008,11,8600
48,523188,14,5700
49,559194,14,5000
50,218270,8,5200
51,47025,12,3700
52,29241,8,2800
53,480446,8,2400
54,146566,15,8600
55,451631,14,8000
56,498818,10,6300
57,962034,22,2800
58,996865,20,5700
59,190836,14,4300
60,817928,11,3000
61,742243,17,6200
62,747532,20,4600
63,39243,13,7700
64,689514,12,7600
65,95124,12,2600
66,859758,19,6300
67,464768,18,2500
68,276947,13,6700
69,156391,9,5000
70,701378,15,7000
71,415253,13,5700
72,495276,13,2500
73,204772,13,2300
74,583351,8,5000
75,661579,13,7300
76,923483,16,4700
77,921585,18,5200
78,751529,11,4100
79,801451,17,6000
80,330246,10,2700
81,493564,14,4700
82,848324,15,2200
83,737458,15,6100
84,134580,13,2400
85,165461,10,6200
86,330191,12,2000
87,289798,10,5300
88,464430,18,4500
89,534921,11,8800
90,271206,11,5600
91,330281,10,1900
92,232475,11,2300
93,304668,16,6800
94,858314,18,2600
95,757732,11,4100
96,708065,11,9700
97,635460,16,10000
98,803884,10,5000
99,250657,15,6100
100,13570,12,8500
101,24169,11,2200
102,998825,21,2000
103,120609,10,4800
104,286423,14,5800
105,499205,12,4700
106,490237,10,1039200
107,540305,15,14500
108,865350,10,9800
109,87332,10,5300
110,81581,7,7600
111,798657,16,4200
112,400960,13,9900
113,172563,12,4700
114,180009,9,5200
115,404847,15,4800
116,31053,10,8300
117,46851,9,2600
118,524909,17,13500
119,741901,15,5500
120,450766,15,4000
121,12702,7,2600
122,89549,10,4600
123,298677,17,5400
124,689026,10,7300
125,521567,14,4000
126,932974,16,6500
127,54981,12,3200
128,13073,8,5200
129,857981,14,3100
130,13706,10,2400
131,549909,11,9100
132,582322,12,2500
133,145476,13,4600
134,768822,11,5900
135,147456,14,4300
136,851055,14,5000
137,880773,8,3700
138,367601,16,2500
139,656431,12,6200
140,846678,14,9200
141,984574,18,4700
142,889303,16,4100
143,755679,13,3600
144,273557,18,5300
145,271998,11,2900
146,44499,11,8300
147,517114,11,2800
148,645381,11,9700
149,343476,10,3100
150,556488,14,3600
151,818123,13,2700
152,593975,15,9300
153,579712,12,5300
154,43197,9,2400
155,894519,13,5400
156,176764,19,13000
157,7199,9,12800
158,485625,9,6200
159,336986,9,3500
160,351247,12,8200
161,274179,13,2600
162,731915,12,3700
163,62714,11,2800
164,404126,11,6000
165,760147,11,6700
166,742846,18,6300
167,633227,14,6000
168,619225,13,6400
169,972726,16,6300
170,465959,21,6900
171,858221,14,2900
172,116062,9,10600
173,771518,15,6100
174,882341,13,4300
175,294607,12,3700
176,926620,18,6000
177,109854,15,7600
178,796621,11,6300
179,264309,11,5600
180,577476,13,2400
181,695407,12,5500
182,401709,16,5800
183,623790,15,766300
184,810103,11,4600
185,1802,6,12700
186,411510,14,6000
187,210086,20,6600
188,415636,13,2400
189,145661,11,2600
190,386830,12,5500
191,270604,13,5000
192,202848,13,3700
193,523810,16,8400
194,638636,16,4700
195,176269,14,2800
196,158085,9,4000
197,146030,12,3800
198,166777,8,4500
199,341151,12,3500
200,918744,13,6400
201,566160,14,2600
202,460513,13,4200
203,58285,7,9600
204,725072,17,5800
205,685141,13,8400
206,648516,8,3400
207,275480,16,4100
208,835885,17,3100
209,197131,13,6900
210,428970,17,3000
211,60927,9,5700
212,833986,17,2300
213,228682,13,7000
214,302262,13,4100
215,542650,12,10200
216,277203,12,2400
217,412062,12,2200
218,92962,14,7600
219,413738,12,5000
220,31812,8,2100
221,555996,11,2400
222,250525,14,5700
223,130443,12,4400
224,652258,12,3500
225,747802,16,5700
226,194808,11,3900
227,215939,9,942600
228,832841,14,4200
229,880701,10,9300
230,42753,9,5700
231,28637,3,2500
232,480820,10,6700
233,9406,12,5000
234,526632,9,5200
235,495351,13,5400
236,54265,12,9500
237,704426,14,3700
238,71525,13,19100
239,393525,12,9700
240,928689,10,3300
241,366145,8,5800
242,776415,13,7400
243,308340,16,11700
244,952235,16,3600
245,307458,12,4200
246,48068,13,6800
247,276329,13,6300
248,810576,10,2700
249,50365,13,8800
250,99390,13,5400
251,598137,18,16300
252,651855,9,5400
253,653598,13,4800
254,515559,9,4600
255,795721,11,2100
256,230024,12,9100
257,9359,10,5900
258,866872,9,6200
259,736865,11,11000
260,300837,14,8600
261,431577,13,5900
262,932431,14,4100
263,165888,13,6600
264,171464,9,2500
265,211443,6,5500
266,730610,14,9500
267,372765,8,5900
268,399493,10,4900
269,636529,20,7000
270,349541,11,4400
271,216347,7,2200
272,79806,9,13200
273,891679,12,10900
274,153330,12,15600
275,83461,13,2500
276,530536,12,4000
277,743291,13,6600
278,916747,9,7000
279,506283,10,4600
280,642367,6,9000
281,81836,11,4900
282,4748,7,4200
283,183068,15,3900
284,721941,11,7000
285,207981,16,4300
286,810115,13,4500
287,336275,14,7200
288,534360,12,4400
289,908091,11,7200
290,74511,17,7400
291,445796,11,2600
292,799933,14,10800
