step,key,operations,nanos
1,431130,1,11321000
2,392763,2,15300
3,211248,3,2600
4,948884,1,1800
5,969970,1,2500
6,87525,5,20200
7,21505,5,3400
8,796918,3,2600
9,255519,3,2600
10,118093,4,7000
11,977182,1,2200
12,67502,5,3400
13,955276,3,5600
14,572292,5,7300
15,164476,4,3000
16,678032,4,2800
17,688456,4,2900
18,576170,5,7100
19,268743,5,2900
20,572209,6,3300
21,241400,7,5200
22,327863,5,3900
23,357226,7,10300
24,462913,12,11800
25,411243,2,3500
26,515241,6,8300
27,146030,7,7700
28,307458,6,3600
29,917387,3,2900
30,298246,6,10900
31,356730,3,2900
32,510756,6,3400
33,472430,7,3400
34,291085,7,3500
35,748217,5,3400
36,177727,5,2900
37,835212,4,3200
38,708093,6,8500
39,490713,7,9900
40,781164,9,8700
41,362379,5,3600
42,168065,7,3800
43,299823,6,8300
44,412737,8,9100
45,593975,3,3700
46,700534,7,3900
47,2807,8,4000
48,16935,8,11900
49,470157,6,3500
50,748443,7,8500
51,627193,3,6900
52,524440,4,3300
53,205558,7,12700
54,764756,5,3800
55,977160,2,3100
56,564410,4,3000
57,725713,4,2900
58,204059,6,4100
59,28261,8,4100
60,626003,4,3400
61,25897,11,10100
62,722819,5,9900
63,327552,6,3600
64,426601,3,3300
65,809094,3,3000
66,650794,5,8300
67,992798,1,2500
68,329719,5,3300
69,183775,7,3600
70,669499,3,3200
71,682390,2,2600
72,967501,5,3400
73,641453,5,7400
74,910429,4,3200
75,427573,5,8300
76,273733,9,3900
77,80986,7,7900
78,582460,5,8600
79,90625,8,4100
80,112093,8,4000
81,218200,6,3800
82,812594,5,8700
83,661403,3,3100
84,257142,4,3400
85,337807,6,3100
86,912593,4,3500
87,714109,7,3600
88,536744,7,3700
89,500398,6,3000
90,774479,4,2900
91,523747,8,9500
92,877696,6,3600
93,829923,3,4200
94,513295,11,10600
95,986759,4,7400
96,924823,11,18300
97,48229,13,25400
98,643976,6,4700
99,945476,4,3800
100,173328,8,9500
101,29870,12,14100
102,501140,6,8300
103,77532,7,4300
104,10029,9,4900
105,934983,5,4600
106,141911,6,4400
107,162709,7,16100
108,863246,6,4800
109,545275,4,4100
110,552522,4,5400
111,742846,6,9300
112,308104,9,9100
113,207597,5,4200
114,324451,8,4700
115,294031,9,15000
116,512670,7,34200
117,308806,9,5400
118,557795,4,4000
119,930606,5,9700
120,755679,5,4300
121,330246,7,4800
122,111228,7,4600
123,234958,7,5100
124,135323,8,5200
125,222652,7,9100
126,42332,8,5300
127,582322,7,5000
128,617923,5,7200
129,476433,7,5100
130,749402,6,5000
131,142352,7,4600
132,198172,9,5500
133,226238,6,4600
134,167932,10,10000
135,446672,7,5000
136,459168,7,4800
137,890525,6,5000
138,473442,8,5100
139,136627,8,10300
140,56433,13,11500
141,1373,11,5500
142,35027,8,4800
143,656721,7,10200
144,12923,9,4700
145,349904,6,4400
146,464803,6,4900
147,46778,9,10600
148,477093,6,9400
149,716447,7,5100
150,455741,9,15600
151,901630,6,4500
152,178035,7,4900
153,5021,11,11100
154,540755,11,12700
155,945481,4,3700
156,290299,16,16100
157,772600,6,8600
158,341151,13,11300
159,562342,4,4100
160,629441,6,36900
161,942284,6,5700
162,734996,6,4800
163,992740,2,3900
164,730610,9,11400
165,18065,8,5300
166,28070,8,5100
167,539030,6,9700
168,945529,4,4000
169,559029,5,4800
170,186291,9,5600
171,766324,10,12100
172,434434,8,5300
173,28741,7,4700
174,471308,4,4400
175,807006,5,4900
176,791881,6,9800
177,230212,5,4500
178,896996,9,11300
179,660929,6,5200
180,325342,9,9500
181,774046,5,4400
182,253589,5,4700
183,768210,6,8900
184,242999,6,4800
185,126774,8,5600
186,523785,7,9700
187,204536,9,15500
188,581745,10,20500
189,918492,8,8000
190,920331,4,3100
191,563398,4,4600
192,912293,3,9900
193,195866,7,4500
194,887978,4,3000
195,601766,9,6000
196,569379,5,9400
197,46189,7,5400
198,479943,3,3800
199,539793,12,9900
200,263374,3,3800
201,16209,10,5700
202,676668,7,4800
203,680378,6,4500
204,927188,5,9700
205,401269,6,4700
206,662377,6,4300
207,610122,9,11800
208,825991,4,4300
209,184654,9,5400
210,226780,8,10900
211,590150,12,6000
212,673693,9,5400
213,900488,7,4800
214,881948,6,4400
215,482894,4,4200
216,282305,11,5800
217,974359,2,3900
218,643731,7,4600
219,997183,1,3600
220,530323,3,4100
221,821675,5,4600
222,524181,5,4700
223,571511,3,4200
224,187843,11,44200
225,812673,6,5100
226,561553,4,4200
227,303416,8,8200
228,399493,7,4800
229,345174,11,10800
230,595987,10,18400
231,586405,14,11400
232,546417,7,8500
233,520118,7,7900
234,263347,6,7900
235,356266,8,5500
236,313659,7,5100
237,761587,14,11700
238,308510,10,5900
239,386553,10,6000
240,705290,5,4700
241,702386,6,4700
242,551486,6,6900
243,656431,7,8900
244,34230,12,6100
245,405088,9,8800
246,862921,9,6100
247,685141,5,8000
248,89891,11,6000
249,585730,9,5200
250,312675,9,5500
251,784193,7,4900
