step,key,operations,nanos
1,611828,19,30500
2,382413,10,6000
3,648878,16,6000
4,134429,17,4800
5,296428,17,5000
6,738030,17,4500
7,662644,12,4100
8,271137,17,5000
9,653558,18,4800
10,457454,20,4600
11,956502,18,4600
12,887183,19,5000
13,350399,19,5700
14,265592,15,4300
15,65146,10,3300
16,438112,21,5100
17,845368,16,58800
18,129647,17,6300
19,812363,14,13200
20,240004,20,5400
21,262603,12,3700
22,646505,13,3800
23,755660,20,239100
24,209250,21,5900
25,530761,17,4300
26,452832,14,3700
27,50957,10,3000
28,946768,19,5400
29,973604,18,4500
30,92360,12,4500
31,948623,19,4200
32,511436,16,4800
33,654466,14,3900
34,792584,15,4300
35,611079,18,5300
36,569376,15,4500
37,583609,18,4600
38,556190,15,84900
39,641515,15,5000
40,925999,19,7600
41,358729,16,8000
42,966043,20,4300
43,318111,19,4400
44,857848,23,4600
45,676596,16,4300
46,956458,17,4700
47,59869,13,4300
48,562578,15,4300
49,744947,20,5000
50,130252,17,4200
51,275284,18,6000
52,769504,18,5000
53,816567,10,2900
54,948042,16,4400
55,755284,18,4700
56,695047,14,4300
57,530761,17,3800
58,428099,15,4400
59,425253,12,3800
60,888244,20,5700
61,342791,20,4900
62,540725,17,4900
63,514208,13,4000
64,484116,14,4000
65,945529,22,5700
66,429506,17,4800
67,272397,15,4100
68,326919,15,4200
69,359671,18,5000
70,415343,9,14600
71,864899,19,5200
72,966246,22,5100
73,159993,18,4700
74,191173,19,5000
75,194446,12,4000
76,930460,19,4500
77,578385,13,14300
78,206313,19,5000
79,776595,19,4500
80,618142,15,5000
81,354187,11,3200
82,4748,11,4500
83,942103,20,5100
84,931478,15,3600
85,824545,19,4800
86,917089,19,5200
87,479469,14,3900
88,601920,16,4500
89,386922,14,9600
90,765523,19,5100
91,5922,12,3900
92,904531,18,5000
93,107137,12,3800
94,954948,17,4300
95,27834,16,4900
96,456665,16,4300
97,685067,18,4700
98,299157,18,4900
99,948884,13,3100
100,786170,15,3800
