Номер операции,Время(нс),Количество операций
1 , 15500 , 15
2 , 3800 , 15
3 , 3900 , 13
4 , 3000 , 16
5 , 3600 , 19
6 , 3000 , 14
7 , 3000 , 16
8 , 2800 , 19
9 , 2200 , 12
10 , 2600 , 14
11 , 2800 , 17
12 , 5800 , 18
13 , 3800 , 11
14 , 11200 , 13
15 , 3400 , 14
16 , 3400 , 19
17 , 3700 , 22
18 , 3000 , 16
19 , 7400 , 15
20 , 2900 , 16
21 , 2300 , 10
22 , 2500 , 12
23 , 2800 , 13
24 , 3200 , 19
25 , 2700 , 13
26 , 8400 , 14
27 , 2600 , 11
28 , 3100 , 20
29 , 2600 , 14
30 , 2800 , 17
31 , 3000 , 15
32 , 2600 , 18
33 , 2200 , 11
34 , 2000 , 10
35 , 3400 , 16
36 , 3100 , 16
37 , 2500 , 16
38 , 700800 , 15
39 , 26300 , 17
40 , 1500 , 13
41 , 1300 , 24
42 , 1100 , 18
43 , 1200 , 16
44 , 800 , 7
45 , 1100 , 15
46 , 800 , 14
47 , 1100 , 18
48 , 900 , 11
49 , 1400 , 20
50 , 1000 , 20
51 , 1500 , 19
52 , 1400 , 12
53 , 1000 , 18
54 , 1400 , 17
55 , 1000 , 15
56 , 1000 , 20
57 , 700 , 12
58 , 1000 , 16
59 , 1100 , 21
60 , 800 , 12
61 , 1000 , 13
62 , 1000 , 12
63 , 1000 , 18
64 , 900 , 21
65 , 800 , 16
66 , 1000 , 15
67 , 800 , 15
68 , 1100 , 15
69 , 800 , 18
70 , 900 , 16
71 , 1000 , 13
72 , 700 , 9
73 , 700 , 19
74 , 1400 , 21
75 , 1600 , 19
76 , 1600 , 13
77 , 1800 , 15
78 , 1700 , 9
79 , 800 , 14
80 , 900 , 15
81 , 800 , 13
82 , 800 , 20
83 , 900 , 13
84 , 900 , 15
85 , 1100 , 19
86 , 700 , 12
87 , 1000 , 18
88 , 900 , 14
89 , 900 , 21
90 , 900 , 10
91 , 1000 , 17
92 , 800 , 12
93 , 900 , 12
94 , 1200 , 15
95 , 900 , 17
96 , 1100 , 25
97 , 900 , 20
98 , 900 , 15
99 , 900 , 12
100 , 1000 , 15
